Model,Scenario,Region,Variable,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Category,IMP_marker
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,World,Capacity|Hydrogen|Electricity,GW,0,,,,,26.64499572,,,,,73.04812287,,,,,155.8036536,,,,,276.6275367,,,,,437.4995582,,,,,727.2011132,C1,
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,,,,,0.74053818,,,,,2.188740905,,,,,4.668344873,,,,,8.153351545,,,,,12.65195155,,,,,21.66550638,C1,
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,World,Capacity|Hydrogen|Electricity,GW,0,,,,,2.190884054,,,,,6.779334359,,,,,27.18663522,,,,,68.01254836,,,,,148.4455647,,,,,286.509642,C2,
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,,,,,0,,,,,0.203129195,,,,,0.814593151,,,,,2.037859986,,,,,4.447874457,,,,,8.584688403,C2,
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,World,Capacity|Hydrogen|Electricity,GW,0,,,,,24.76346458,,,,,66.78864374,,,,,147.9637334,,,,,286.0836473,,,,,472.2926086,,,,,778.6532436,C1,
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,,,,,0.67634223,,,,,2.001188132,,,,,4.433437344,,,,,8.571924324,,,,,13.97564078,,,,,23.33078714,C1,
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,World,Capacity|Hydrogen|Electricity,GW,0,,,,,2.190884054,,,,,3.429130805,,,,,18.71516909,,,,,52.8314457,,,,,118.4047673,,,,,236.3259373,C2,
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,,,,,0,,,,,0.102747046,,,,,0.560762611,,,,,1.582988608,,,,,3.547762041,,,,,7.081034059,C2,
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,World,Capacity|Hydrogen|Electricity,GW,0,,,,,16.95357617,,,,,48.86263276,,,,,108.1481212,,,,,217.6059455,,,,,404.0923674,,,,,691.6813439,C2,
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,,,,,0.442334544,,,,,1.398425606,,,,,3.240442154,,,,,6.520126945,,,,,12.1078196,,,,,20.72484811,C2,
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,World,Capacity|Hydrogen|Electricity,GW,0,,,,,8.596427461,,,,,28.34528753,,,,,68.42152822,,,,,145.4599722,,,,,279.3598248,,,,,508.2124604,C1,
